index,gender,car,reality,income_type,edu_type,family_type,house_type,occyp_type,family_size,age,work_year,use_month,income_total,credit
0,0,0,0,Commercial associate,Higher education,Married,Municipal apartment,Laborers,2,38,13,6,202500.0,1.0
1,0,0,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,3,31,5,5,247500.0,1.0
2,1,1,1,Working,Higher education,Married,House / apartment,Managers,2,52,13,22,450000.0,2.0
3,0,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,41,6,37,202500.0,0.0
4,0,1,1,State servant,Higher education,Married,House / apartment,Managers,2,41,6,26,157500.0,2.0
5,0,0,1,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,4,36,14,18,270000.0,1.0
6,0,0,0,Working,Secondary / secondary special,Separated,House / apartment,Core staff,1,48,6,41,315000.0,2.0
7,1,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,40,15,53,270000.0,0.0
8,1,1,1,Commercial associate,Higher education,Married,House / apartment,Laborers,3,41,5,38,180000.0,2.0
9,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,43,4,5,103500.0,2.0
10,0,0,1,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,52,7,40,193500.0,2.0
11,1,1,1,Commercial associate,Higher education,Married,House / apartment,Managers,3,32,1,51,135000.0,2.0
12,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,32,6,60,157500.0,0.0
13,0,0,0,Working,Higher education,Married,House / apartment,Sales staff,2,27,7,41,135000.0,2.0
14,0,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,62,0,41,157500.0,2.0
15,1,1,1,Working,Secondary / secondary special,Married,With parents,Drivers,4,35,12,60,157500.0,0.0
16,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,53,13,2,180000.0,1.0
17,1,0,0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,Sales staff,2,24,3,14,270000.0,2.0
18,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,63,0,37,216000.0,2.0
19,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,37,17,7,180000.0,2.0
20,1,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,54,5,35,180000.0,2.0
21,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,58,0,7,157500.0,2.0
22,0,0,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,41,4,22,157500.0,0.0
23,1,1,0,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,2,39,2,18,225000.0,2.0
24,0,0,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,61,0,5,202500.0,2.0
25,0,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Realty agents,3,38,11,4,225000.0,2.0
26,1,1,0,Working,Higher education,Married,House / apartment,Laborers,3,48,10,13,135000.0,2.0
27,1,1,1,State servant,Secondary / secondary special,Married,House / apartment,Laborers,2,47,10,57,405000.0,2.0
28,1,1,0,Commercial associate,Secondary / secondary special,Married,With parents,Drivers,2,60,7,47,112500.0,2.0
29,0,0,1,Commercial associate,Secondary / secondary special,Married,Co-op apartment,Sales staff,2,32,5,22,121500.0,0.0
30,1,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,36,1,33,225000.0,2.0
31,1,1,1,Commercial associate,Higher education,Married,House / apartment,Laborers,2,32,10,18,135000.0,0.0
32,0,0,1,Working,Higher education,Married,House / apartment,Laborers,2,36,5,2,135000.0,0.0
33,1,0,1,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,52,1,30,202500.0,2.0
34,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,39,5,22,270000.0,0.0
35,0,1,0,Working,Higher education,Civil marriage,House / apartment,Managers,2,39,7,20,225000.0,2.0
36,0,1,0,Working,Higher education,Single / not married,House / apartment,Accountants,1,55,3,14,225000.0,2.0
37,1,1,1,Commercial associate,Secondary / secondary special,Married,With parents,Drivers,2,45,5,8,585000.0,2.0
38,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,37,10,41,202500.0,2.0
39,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,35,5,39,112500.0,2.0
40,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,59,7,21,90900.0,1.0
41,0,0,1,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,2,19,99000.0,2.0
42,1,0,0,Working,Secondary / secondary special,Married,House / apartment,Managers,3,27,2,35,270000.0,0.0
43,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,27,6,8,67500.0,1.0
44,1,0,0,Working,Higher education,Civil marriage,House / apartment,Drivers,2,41,1,26,247500.0,2.0
45,1,1,0,Working,Higher education,Married,House / apartment,High skill tech staff,2,51,9,4,405000.0,0.0
46,0,0,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,57,0,24,135000.0,2.0
47,0,1,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,50,10,48,292500.0,2.0
48,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,64,0,4,99000.0,2.0
49,0,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,51,6,12,585000.0,2.0
50,0,1,0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,38,4,4,90000.0,2.0
51,1,1,1,Working,Incomplete higher,Married,With parents,Drivers,2,24,4,10,495000.0,2.0
52,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,65,0,37,54000.0,2.0
53,0,1,1,State servant,Higher education,Married,House / apartment,Core staff,4,37,11,42,306000.0,2.0
54,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,42,2,2,99000.0,1.0
55,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,37,9,24,180000.0,2.0
56,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,44,26,29,130500.0,2.0
57,0,0,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,1,46,2,3,225000.0,1.0
58,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,63,0,23,144000.0,2.0
59,0,0,1,Pensioner,Higher education,Married,House / apartment,Unoccupied,2,62,0,25,360000.0,2.0
60,1,1,1,Pensioner,Secondary / secondary special,Separated,House / apartment,Unoccupied,1,58,0,1,112500.0,1.0
61,1,1,0,Commercial associate,Higher education,Married,House / apartment,Managers,3,31,4,15,270000.0,2.0
62,0,1,1,Working,Higher education,Married,House / apartment,Core staff,2,47,9,40,225000.0,1.0
63,1,1,1,Working,Higher education,Married,House / apartment,Managers,2,42,10,21,315000.0,2.0
64,1,1,0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,Security staff,1,24,2,32,67500.0,2.0
65,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,34,14,10,40500.0,2.0
66,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,37,8,4,144000.0,1.0
67,0,0,1,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,4,33,4,2,157500.0,1.0
68,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,28,5,14,180000.0,1.0
69,0,0,1,Working,Higher education,Married,House / apartment,Medicine staff,2,42,9,59,157500.0,2.0
70,1,0,1,Commercial associate,Higher education,Single / not married,House / apartment,Laborers,1,27,6,39,81000.0,2.0
71,1,1,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,43,11,54,202500.0,2.0
72,0,0,0,Commercial associate,Higher education,Married,House / apartment,Laborers,2,59,3,4,351000.0,2.0
73,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,63,0,34,180000.0,2.0
74,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,28,1,25,67500.0,2.0
75,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,2,42,16,34,315000.0,2.0
76,0,1,0,Commercial associate,Higher education,Married,House / apartment,Laborers,2,37,2,15,315000.0,2.0
77,0,0,0,Working,Higher education,Single / not married,House / apartment,Core staff,1,26,2,7,135000.0,1.0
78,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,34,1,23,112500.0,1.0
79,0,1,1,Working,Higher education,Separated,House / apartment,Core staff,2,40,5,2,225000.0,0.0
80,0,0,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,48,1,2,247500.0,1.0
81,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,28,3,0,135000.0,0.0
82,0,1,1,Working,Higher education,Civil marriage,House / apartment,Accountants,2,41,4,53,216000.0,2.0
83,0,0,0,Working,Higher education,Married,House / apartment,High skill tech staff,4,32,5,38,180000.0,1.0
84,1,1,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,64,0,27,135000.0,2.0
85,1,1,0,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,2,49,4,41,184500.0,1.0
86,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,34,2,45,112500.0,2.0
87,0,0,1,Commercial associate,Secondary / secondary special,Widow,House / apartment,Core staff,1,36,1,56,270000.0,2.0
88,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,55,15,45,360000.0,2.0
89,1,0,0,Commercial associate,Incomplete higher,Married,House / apartment,Managers,2,39,12,59,450000.0,2.0
90,0,0,1,State servant,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,55,26,30,45000.0,2.0
91,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Private service staff,2,51,9,20,202500.0,2.0
92,1,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,33,2,5,135000.0,2.0
93,0,0,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,1,52,10,22,202500.0,1.0
94,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,65,0,26,180000.0,2.0
95,1,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,44,0,14,79650.0,2.0
96,1,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,2,64,6,56,450000.0,2.0
97,1,1,1,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers,2,25,4,46,157500.0,2.0
